name,type,benefits,target,frequency,compatible,incompatible
Allantoin,Moisturizer and exfoliator.,"Moisturizes, soothes itchiness, and heals injured skin.","In general, those with dry, itchy skin looking for better skin texture and smoothness, regardless of skin type, age, or conditions.","Can be used day in and day out without general side effects of any kind, according to Shamban.","Herrmann says when used in scar creams, allantoin is often combined with ingredients like silicone and other emollients to amplify results.","Herrmann adds that combining it with other exfoliants could produce an exaggerated reaction, causing excess irritation, if strengths are too high."
Aloe Vera,Skin soother,"Calms, soothes, and hydrates the skin","In general, anyone looking to soothe burns, including sunburn and windburn, and moisturize their skin.",Nussbaum recommends applying it two to three times daily.,"To increase the calming benefits, Nussbaum suggests using it with anti-inflammatory ingredients.","Nussbaum says to avoid using aloe vera products that also contain alcohol, which will negate the moisturizing, soothing effects of the aloe, and also avoid combining it with chemical exfoliants, which could worsen any stinging or irritation. If you have a burn, Nussbaum advises against using it with an ointment or petrolatum, which will trap the heat inside."
Alpha Hydroxy Acids,Acid/chemical exfoliant,"Exfoliate the top layers of skin to minimize dullness and even out texture; some AHAs can also stimulate collagen production, while others have antioxidant and hydrating properties.","Given their wide range of effects, most people can benefit from using AHAs, says Nazarian, so long as you find the right alpha hydroxy acid and concentration of it for your particular skin type.","This differs greatly based on the particular acid, product, and your skin. Follow product directions, but always start slow, using any AHA only once or twice per week and gradually increasing frequency as your skin can tolerate it, suggests Nussbaum.","Peptides can slow the penetration of AHAs, making them less irritating, says Nussbaum. You can also pair them with hydrating ingredients.","Avoid using retinoids at the same time of day as AHAs, and be cautious when using both BHAs (beta hydroxy acids, such as salicylic acid) and AHAs in order to minimize irritation."
Amino Acids,Varying,"Soothe skin, help moisturize, act as antioxidants","In general, whatever amino acids are added to your skincare will be catered to the function of the product.",How often can you use it? You can use amino acids as often as you want; they are gentle enough for everyday use.,"Pretty much everything; glycerides, ceramides, and peptides in particular.",Amino acids can be mixed with a host of other ingredients.
Amoxicillin,Antibiotic,Most commonly used to treat upper respiratory bacterial infections and urinary tract infections; sometimes used as a second-line treatment for acne.,"Those dealing with moderate to severe inflammatory acne, and who can't take the tetracycline class of antibiotics (monocycline, doxycycline) because of allergy or pregnancy.","It's usually prescribed twice daily for acne, though as with any antibiotics for acne, it should be discontinued after three to four months of use.","Oral antibiotics are generally paired with topical medications that contain benzoyl peroxide and topical retinoids, says Zeichner.","Other topical antibiotics, which can increase the likelihood of developing bacterial resistance."
Apple Cider Vinegar,Exfoliator,"Balances pH, chemically exfoliates, and antibacterial.","In general, people with oily and acneic skin.",The use of apple cider vinegar depends on what product and concentration you're using it in.,Anti-inflammatories.,"Other acids, retinoids."
Arbutin,Brightener,"Lightens dark spots, lessens appearance of acne scars, helps even out skin tone.",Arbutin is generally safe for all skin types.,Arbutin can be used twice a day. It is safe to apply on clean skin with other creams and serums. It can also be used in the summer since it does not make skin more sensitive to the sun.,"Vitamin C, AHAs","While there are no known negative interactions with other skincare ingredients, heat can degrade the effectiveness of arbutin.﻿﻿"
Argireline,Peptide,"Prevents the muscle movement that leads to wrinkle formation. Argireline also promotes collagen production and optimizes the function of collagen, which both fight fine lines and improve moisture levels in the skin, says Shah.",Anyone looking to smooth out wrinkles caused by repeated muscle movement in areas such as the forehead and around the eyes. It’s also a good pick for anyone with dry skin as it actually helps allocate moisture to the area of application.,It can be used daily.,"One study suggests that it works well in conjunction with another peptide, tripeptide-10-cirtrulline, which increases the permeability for argireline to penetrate to a depth where it can target muscles that cause wrinkles, says Linkner. It’s also often combined with hyaluronic acid to up the hydration benefits.","Generally speaking, argireline works well with all ingredients."
Ascorbyl Glucoside,Antioxidant,"Neutralizes skin-damaging free radicals, inhibits the production of pigment to fade and prevent dark spots, boosts collagen production.","In general, because this is a less potent version of vitamin C, it's a good option for all skin types and anyone looking to brighten a dull complexion, enhance radiance, and stave off signs of aging such as fine lines and wrinkles, advises Nussbaum.","Recommended use is usually once a day, though it can be used twice daily as well.","As an antioxidant, ascorbyl glucoside plays nice with many different ingredients, though it works especially well with niacinamide, a type of vitamin B. ""When combined, these two ingredients can help address issues such as loss of firmness and elasticity, wrinkles and fine lines, unevenness in the complexion, and large pores,"" explains Solomon. All antioxidants also work well with sunscreen, offering an added layer of protection.","Benzoyl peroxide can oxidize vitamin C and should therefore be avoided. Vitamin C and retinol are active at different pHs and therefore should be used separately if you want the full potential of each ingredient, notes Nussbaum."
Avocado Oil,"Antioxidant, emollient, and anti-inflammatory.",Helps the skin maintain hydration and minimizes damage from free radicals.,"Because of its anti-inflammatory properties, Russak recommends avocado oil for anybody who has eczema, acne, seborrheic dermatitis, or psoriasis.","Avocado oil is safe to use daily in a dilute form. If it is included in a product’s formulation, follow the manufacturer’s instructions.","Russak recommends combining avocado oil with retinol. “The most absorption of the retinol happens with a fat-soluble content,” Russak explains. “Combining it together with an oil will increase absorption and decrease the irritation from it.” Although avocado oil has moisturizing properties, Hayag says it also would be beneficial for maximal moisture to use it in combination with a humectant like hyaluronic acid in order to draw water into the skin.","There are no ingredients that contraindicate with avocado oil, but Russak suggests refraining from using the oil with other oils, such as vitamin K. “You’re really just creating too much of the lipids on the surface of the skin, and lipids start competing in terms of how they penetrate into the skin, so it will decrease the efficacy of whatever you’re trying to do,” Russak explains."
Azelaic Acid,Exfoliant,"Fights acne, treats rosacea, lightens pigmentation, and removes dead skin cells.","In general, anyone with acne-prone, rosacea-prone skin and hyperpigmentation. Dr. Fusco says azelaic acid is recommended for all skin types and is even safe for those who are pregnant.",It is safe to use twice a day (morning and night) or once every other day for those with sensitive skin.,"Alpha-hydroxy acids (AHA), beta-hydroxy acid (BHA), and retinol.","Azelaic acid is safe to use in conjunction with most, if not all, ingredients.﻿﻿"
Bakuchiol,Hydrator,"Wrinkle reduction, increases skin firmness, and reduces the appearance of pores.","Generally, bakuchiol is safe for all skin types.","It's safe to use twice a day, in the morning before moisturizer and at night before any serums.","Other hydrating ingredients, like squalane and PHAs.",Glycolic acid could degrade the formulation.
Benzoyl Peroxide,Anti-bacterial,Reduces acne-causing bacteria,"In general, benzoyl peroxide is suitable for those looking to treat mild to moderate acne at home.","Benzoyl peroxide shouldn't be used more than twice per day, at most.",Benzoyl peroxide works well in combination with salicyclic acid to treat acne.,Don't use multiple benzoyl peroxide products at once. Benzoyl peroxide may also reduce the efficacy of vitamin C products when used as part of the same routine.
Benzyl Alcohol,"Preservative, antioxidant, and solvent","Preserves, stabilizes, and dissolves ingredients","In general, benzyl alcohol is safe to use by anyone who does not have a true contact allergy to it. Krant adds that those who prefer un-preserved products would want to avoid products containing standard preservatives like benzyl alcohol, though it may risk contamination.",Benzyl alcohol is safe to use on a daily basis if you're not sensitive to it and if it's used at a low concentration.,"Benzyl alcohol works well with most, if not all, other ingredients.","Benzyl alcohol works well with most, if not all, other ingredients."
