chem_name,prod_name
Propanediol,EUK 134 0.1%
Propanediol,Pycnogenol 5%
Ferulic Acid,Resveratrol 3% + Ferulic Acid 3%
Propanediol,Resveratrol 3% + Ferulic Acid 3%
Resveratrol,Resveratrol 3% + Ferulic Acid 3%
Glycerin,Squalane Cleanser
Malic Acid,Squalane Cleanser
Dimethicone,Coverage Foundation (1.0 N) 
Glycerin,Coverage Foundation (1.0 N) 
Phenoxyethanol,Coverage Foundation (1.0 N) 
Cyclopentasiloxane,Serum Foundation (1.0 N)
Dimethicone,Serum Foundation (1.0 N)
Phenoxyethanol,Serum Foundation (1.0 N)
Dimethicone,High-Adherence Silicone Primer
Phenoxyethanol,High-Adherence Silicone Primer
Cyclopentasiloxane,High-Spreadability Fluid Primer
Dimethicone,High-Spreadability Fluid Primer
Caprylyl Glycol,AHA 30% + BHA 2% Peeling Solution
Glycerin,AHA 30% + BHA 2% Peeling Solution
Lactic Acid,AHA 30% + BHA 2% Peeling Solution
Panthenol,AHA 30% + BHA 2% Peeling Solution
Propanediol,AHA 30% + BHA 2% Peeling Solution
Sodium Hyaluronate,AHA 30% + BHA 2% Peeling Solution
Azelaic Acid,Azelaic Acid Suspension 10%
Dimethicone,Azelaic Acid Suspension 10%
Phenoxyethanol,Azelaic Acid Suspension 10%
Triethanolamine,Azelaic Acid Suspension 10%
Caprylyl Glycol,Glycolic Acid 7% Toning Solution
Glycerin,Glycolic Acid 7% Toning Solution
Propanediol,Glycolic Acid 7% Toning Solution
Triethanolamine,Glycolic Acid 7% Toning Solution
Caprylyl Glycol,Lactic Acid 10% + HA
Glycerin,Lactic Acid 10% + HA
Lactic Acid,Lactic Acid 10% + HA
Propanediol,Lactic Acid 10% + HA
Sodium Hyaluronate,Lactic Acid 10% + HA
Caprylyl Glycol,Lactic Acid 5% + HA
Glycerin,Lactic Acid 5% + HA
Lactic Acid,Lactic Acid 5% + HA
Propanediol,Lactic Acid 5% + HA
Sodium Hyaluronate,Lactic Acid 5% + HA
Caprylyl Glycol,Mandelic Acid 10% + HA
Glycerin,Mandelic Acid 10% + HA
Mandelic Acid,Mandelic Acid 10% + HA
Propanediol,Mandelic Acid 10% + HA
Sodium Hyaluronate,Mandelic Acid 10% + HA
Charcoal,Salicylic Acid 2% Masque
Glycerin,Salicylic Acid 2% Masque
Phenoxyethanol,Salicylic Acid 2% Masque
Caprylyl Glycol,Salicylic Acid 2% Solution
Biotin,Multi-Peptide Serum for Hair Density
Butylene Glycol,Multi-Peptide Serum for Hair Density
Caffeine,Multi-Peptide Serum for Hair Density
Castor Oil,Multi-Peptide Serum for Hair Density
Glycerin,Multi-Peptide Serum for Hair Density
Lactic Acid,Multi-Peptide Serum for Hair Density
Phenoxyethanol,Multi-Peptide Serum for Hair Density
Propanediol,Multi-Peptide Serum for Hair Density
Caprylyl Glycol,Amino Acids + B5
Lysine,Amino Acids + B5
Panthenol,Amino Acids + B5
Propanediol,Amino Acids + B5
Caprylyl Glycol,Hyaluronic Acid 2% + B5
Glycerin,Hyaluronic Acid 2% + B5
Panthenol,Hyaluronic Acid 2% + B5
Phenoxyethanol,Hyaluronic Acid 2% + B5
Propanediol,Hyaluronic Acid 2% + B5
Sodium Hyaluronate,Hyaluronic Acid 2% + B5
Caprylyl Glycol,Marine Hyaluronics
Glycerin,Marine Hyaluronics
Phenoxyethanol,Marine Hyaluronics
Propanediol,Marine Hyaluronics
Allantoin,Natural Moisturizing Factors + HA
Glycerin,Natural Moisturizing Factors + HA
Phenoxyethanol,Natural Moisturizing Factors + HA
Propanediol,Natural Moisturizing Factors + HA
Sodium Hyaluronate,Natural Moisturizing Factors + HA
Triethanolamine,Natural Moisturizing Factors + HA
Arbutin,Alpha Arbutin 2% + HA
Castor Oil,Alpha Arbutin 2% + HA
Lactic Acid,Alpha Arbutin 2% + HA
Phenoxyethanol,Alpha Arbutin 2% + HA
Propanediol,Alpha Arbutin 2% + HA
Sodium Hyaluronate,Alpha Arbutin 2% + HA
Benzyl Alcohol,Caffeine Solution 5% + EGCG
Caffeine,Caffeine Solution 5% + EGCG
Caprylyl Glycol,Caffeine Solution 5% + EGCG
Glycerin,Caffeine Solution 5% + EGCG
Hyaluronic Acid,Caffeine Solution 5% + EGCG
Lactic Acid,Caffeine Solution 5% + EGCG
Phenoxyethanol,Caffeine Solution 5% + EGCG
Propanediol,Caffeine Solution 5% + EGCG
Phenoxyethanol,Niacinamide 10% + Zinc 1%
Allantoin,“Buffet”
Butylene Glycol,“Buffet”
Caprylyl Glycol,“Buffet”
Castor Oil,“Buffet”
Glycerin,“Buffet”
Phenoxyethanol,“Buffet”
Sodium Hyaluronate,“Buffet”
Allantoin,“Buffet” + Copper Peptides 1%
Butylene Glycol,“Buffet” + Copper Peptides 1%
Caprylyl Glycol,“Buffet” + Copper Peptides 1%
Glycerin,“Buffet” + Copper Peptides 1%
Phenoxyethanol,“Buffet” + Copper Peptides 1%
Sodium Hyaluronate,“Buffet” + Copper Peptides 1%
Phenoxyethanol,Argireline Solution 10%
Propanediol,Argireline Solution 10%
Butylene Glycol,Matrixyl 10% + HA
Castor Oil,Matrixyl 10% + HA
Glycerin,Matrixyl 10% + HA
Phenoxyethanol,Matrixyl 10% + HA
Sodium Hyaluronate,Matrixyl 10% + HA
Cetearyl Alcohol,Granactive Retinoid 2% Emulsion
Glycerin,Granactive Retinoid 2% Emulsion
Phenoxyethanol,Granactive Retinoid 2% Emulsion
Propanediol,Granactive Retinoid 2% Emulsion
Retinol,Granactive Retinoid 2% Emulsion
Palmitate,Granactive Retinoid 2% Emulsion
Retinol,Retinol 0.2% in Squalane
Retinol,Retinol 0.5% in Squalane
Retinol,Retinol 1% in Squalane
Allantoin,Mineral UV Filters SPF 15 with Antioxidants
Cyclopentasiloxane,Mineral UV Filters SPF 15 with Antioxidants
Dimethicone,Mineral UV Filters SPF 15 with Antioxidants
Glycerin,Mineral UV Filters SPF 15 with Antioxidants
Phenoxyethanol,Mineral UV Filters SPF 15 with Antioxidants
Sodium Hyaluronate,Mineral UV Filters SPF 15 with Antioxidants
Allantoin,Mineral UV Filters SPF 30 with Antioxidants 
Cyclopentasiloxane,Mineral UV Filters SPF 30 with Antioxidants 
Dimethicone,Mineral UV Filters SPF 30 with Antioxidants 
Glycerin,Mineral UV Filters SPF 30 with Antioxidants 
Phenoxyethanol,Mineral UV Filters SPF 30 with Antioxidants 
Sodium Hyaluronate,Mineral UV Filters SPF 30 with Antioxidants 
Vitamin C,100% L-Ascorbic Acid Powder
Arbutin,Ascorbic Acid 8% + Alpha Arbutin 2%
Propanediol,Ascorbic Acid 8% + Alpha Arbutin 2%
Vitamin C,Ascorbic Acid 8% + Alpha Arbutin 2%
Ascorbyl Glucoside,Ascorbyl Glucoside Solution 12%
Caprylyl Glycol,Ascorbyl Glucoside Solution 12%
Propanediol,Ascorbyl Glucoside Solution 12%
Triethanolamine,Ascorbyl Glucoside Solution 12%
Ascorbyl Glucoside,Ascorbyl Glucoside Solution 12%
Caprylyl Glycol,Ascorbyl Glucoside Solution 12%
Propanediol,Ascorbyl Glucoside Solution 12%
Triethanolamine,Ascorbyl Glucoside Solution 12%
Propanediol,Ethylated Ascorbic Acid 15% Solution
Vitamin C,Ethylated Ascorbic Acid 15% Solution
Glycerin,Magnesium Ascorbyl Phosphate 10%
Magnesium,Magnesium Ascorbyl Phosphate 10%
Phenoxyethanol,Magnesium Ascorbyl Phosphate 10%
Palmitate,Vitamin C Suspension 23% + HA Spheres 2%
Sodium Hyaluronate,Vitamin C Suspension 23% + HA Spheres 2%
Vitamin C,Vitamin C Suspension 23% + HA Spheres 2%
Dimethicone,Vitamin C Suspension 30% in Silicone
Vitamin C,Vitamin C Suspension 30% in Silicone
