chem_name,prod_name
Phenoxyethanol,100 percent Pure Argan Oil
Phenoxyethanol,100 percent Pure Argan Oil Light 
Glycerin,3 Little Wonders™
Lactic Acid,3 Little Wonders™
Phenoxyethanol,3 Little Wonders™
Propylene Glycol,3 Little Wonders™
Phenoxyethanol,5 in 1 Face Cream SPF 30
Butylene Glycol,7 Day Scrub Cream Rinse-Off Formula
Caprylyl Glycol,7 Day Scrub Cream Rinse-Off Formula
Cetearyl Alcohol,7 Day Scrub Cream Rinse-Off Formula
Phenoxyethanol,7 Day Scrub Cream Rinse-Off Formula
Triethanolamine,7 Day Scrub Cream Rinse-Off Formula
Phenoxyethanol,A-Passioni™ Retinol Cream
Phenoxyethanol,A Perfect World™ SPF 40 Age-Defense Moisturizer with White Tea
Castor Oil,Abeille Royale Youth Watery Anti-Aging Oil
Glycerin,Abeille Royale Youth Watery Anti-Aging Oil
Phenoxyethanol,Abeille Royale Youth Watery Anti-Aging Oil
Butylene Glycol,Acne Solutions™ Clarifying Lotion
Caffeine,Acne Solutions™ Clarifying Lotion
Glycerin,Acne Solutions™ Clarifying Lotion
Caffeine,Acne Solutions™ Cleansing Bar For Face and Body
Glycerin,Acne Solutions™ Cleansing Bar For Face and Body
Butylene Glycol,Acne Solutions™ Cleansing Foam
Caffeine,Acne Solutions™ Cleansing Foam
Dimethicone,Acne Solutions™ Cleansing Foam
Glycerin,Acne Solutions™ Cleansing Foam
Phenoxyethanol,Acne Solutions™ Cleansing Foam
Sodium Hyaluronate,Acne Solutions™ Cleansing Foam
Butylene Glycol,Acne Solutions™ Clinical Clearing Gel
Butylene Glycol,Acne Solutions Clinical Clearing Kit
Caffeine,Acne Solutions Clinical Clearing Kit
Caprylyl Glycol,Acne Solutions Clinical Clearing Kit
Dimethicone,Acne Solutions Clinical Clearing Kit
Glycerin,Acne Solutions Clinical Clearing Kit
Phenoxyethanol,Acne Solutions Clinical Clearing Kit
Propylene Glycol,Acne Solutions Clinical Clearing Kit
Sodium Hyaluronate,Acne Solutions Clinical Clearing Kit
Allantoin,Active Moist Moisturizer
Butylene Glycol,Active Moist Moisturizer
Caprylyl Glycol,Active Moist Moisturizer
Cetearyl Alcohol,Active Moist Moisturizer
Dimethicone,Active Moist Moisturizer
Propanediol,Active Moist Moisturizer
Ascorbyl Glucoside,Advanced Génifique Anti-Aging Face Serum
Caprylyl Glycol,Advanced Génifique Anti-Aging Face Serum
Castor Oil,Advanced Génifique Anti-Aging Face Serum
Dimethicone,Advanced Génifique Anti-Aging Face Serum
Phenoxyethanol,Advanced Génifique Anti-Aging Face Serum
Phytosphingosine,Advanced Génifique Anti-Aging Face Serum
Sodium Hyaluronate,Advanced Génifique Anti-Aging Face Serum
Cetearyl Alcohol,Age Arrest Anti-Wrinkle Cream
Dimethicone,Age Arrest Anti-Wrinkle Cream
Glycerin,Age Arrest Anti-Wrinkle Cream
Hyaluronic Acid,Age Arrest Anti-Wrinkle Cream
Panthenol,Age Arrest Anti-Wrinkle Cream
Phenoxyethanol,Age Arrest Anti-Wrinkle Cream
Propanediol,Age Arrest Anti-Wrinkle Cream
Caprylyl Glycol,AHA 30% + BHA 2% Peeling Solution
Glycerin,AHA 30% + BHA 2% Peeling Solution
Lactic Acid,AHA 30% + BHA 2% Peeling Solution
Panthenol,AHA 30% + BHA 2% Peeling Solution
Propanediol,AHA 30% + BHA 2% Peeling Solution
Sodium Hyaluronate,AHA 30% + BHA 2% Peeling Solution
Butylene Glycol,AHA/BHA Exfoliating Cleanser
Lactic Acid,AHA/BHA Exfoliating Cleanser
Methylparaben,AHA/BHA Exfoliating Cleanser
Phenoxyethanol,AHA/BHA Exfoliating Cleanser
Sodium Ascorbyl Phosphate,AHA/BHA Exfoliating Cleanser
Butylene Glycol,All About Eyes
Caffeine,All About Eyes
Cyclopentasiloxane,All About Eyes
Dimethicone,All About Eyes
Glycerin,All About Eyes
Magnesium,All About Eyes
Phenoxyethanol,All About Eyes
Phytosphingosine,All About Eyes
Palmitate,All About Eyes
Caffeine,All About Eyes™ Rich Eye Cream
Caprylyl Glycol,All About Eyes™ Rich Eye Cream
Dimethicone,All About Eyes™ Rich Eye Cream
Magnesium,All About Eyes™ Rich Eye Cream
Phenoxyethanol,All About Eyes™ Rich Eye Cream
Phytosphingosine,All About Eyes™ Rich Eye Cream
Sodium Hyaluronate,All About Eyes™ Rich Eye Cream
Phenoxyethanol,All Day Hydrator - Hydrate & Glow
Glycerin,Alpha Beta® Extra Strength Daily Peel
Phenoxyethanol,Alpha Beta® Extra Strength Daily Peel
Resveratrol,Alpha Beta® Extra Strength Daily Peel
Retinol,Alpha Beta® Extra Strength Daily Peel
Vitamin C,Alpha Beta® Extra Strength Daily Peel
Butylene Glycol,Alpha Beta® Ultra Gentle Daily Peel for Sensitive Skin
Colloidal Oatmeal,Alpha Beta® Ultra Gentle Daily Peel for Sensitive Skin
Glycerin,Alpha Beta® Ultra Gentle Daily Peel for Sensitive Skin
Phenoxyethanol,Alpha Beta® Ultra Gentle Daily Peel for Sensitive Skin
Resveratrol,Alpha Beta® Ultra Gentle Daily Peel for Sensitive Skin
Sodium Hyaluronate,Alpha Beta® Ultra Gentle Daily Peel for Sensitive Skin
Glycerin,Alpha Beta® Universal Daily Peel
Phenoxyethanol,Alpha Beta® Universal Daily Peel
Resveratrol,Alpha Beta® Universal Daily Peel
Retinol,Alpha Beta® Universal Daily Peel
Vitamin C,Alpha Beta® Universal Daily Peel
Mineral Oil,Avocado Melt Retinol Eye Sleeping Mask
Phenoxyethanol,Avocado Melt Retinol Sleeping Face Mask
Phenoxyethanol,B-Hydra™ Intensive Hydration Serum
Allantoin,Balance It All™ Essentials Set
Butylene Glycol,Balance It All™ Essentials Set
Caprylyl Glycol,Balance It All™ Essentials Set
Dimethicone,Balance It All™ Essentials Set
Glycerin,Balance It All™ Essentials Set
Lactic Acid,Balance It All™ Essentials Set
Phenoxyethanol,Balance It All™ Essentials Set
