name,brand,loves,link,price,ingredients
100 percent Pure Argan Oil,Josie Maran,127773.0,https://www.sephora.com/product/100-percent-pure-argan-oil-P218700?icid2=products,49.0,"1% or more of total formula, Ethanolamines DEA/TEA/MEA/ETA, Nanoparticles as defined by the European Commission, Petrolatum and Parrafin that is not USP grade, Phenoxyethanol that is 1% or more of total formulation, Polyacrylamide & Acrylamide, The following types of Styrene (Bromostyrene, Deastyrene/acrylates/dvbcopolymer, sodium styrene/divinylbenzene copolymer, styrene oxide, styrene), 1,4 Dioxane in final formulas must comply with the thresholds as follows: (10 or < ppm for products that are meant to be rinsed off, wiped off or removed, 3ppm or < for products that are meant to remain on the skin)"
100 percent Pure Argan Oil Light ,Josie Maran,36123.0,https://www.sephora.com/product/100-pure-argan-oil-light-P380805?icid2=products,49.0,"1% or more of total formula, Ethanolamines DEA/TEA/MEA/ETA, Nanoparticles as defined by the European Commission, Petrolatum and Parrafin that is not USP grade, Phenoxyethanol that is 1% or more of total formulation, Polyacrylamide & Acrylamide, The following types of Styrene (Bromostyrene, Deastyrene/acrylates/dvbcopolymer, sodium styrene/divinylbenzene copolymer, styrene oxide, styrene), 1,4 Dioxane in final formulas must comply with the thresholds as follows: (10 or < ppm for products that are meant to be rinsed off, wiped off or removed, 3ppm or < for products that are meant to remain on the skin)"
3 Little Wonders™,OLEHENRIKSEN,71562.0,https://www.sephora.com/product/3-little-wonders-P124716?icid2=products,74.0,"Water, Glycolic Acid, Glycerin, Chondrus Crispus (Carrageenan), Xantahn Gum, Lactic Acid, Potassium Hydroxide, Vaccinium Myrtillus (Bilberry) Fruit Extract, Phenoxyethanol, Saccharum Officinarum (Sugar Cane) Extract, Propylene Glycol, Chlorphenesin, Citrus Limon (Lemon) Fruit Extract, Acer Saccarum (Sugar Maple) Extract, Sodium Dehydroacetate, Citric Acid, Parfum/Fragrance, Biosaccharide Gum-1, Sodium Levulinate, Calcium Ascorbate, Glyceryl Caprylate, Tocopherol, Glycine Soja (Soybean) Oil, Sodium Anisate, Calcium Carbonate, Calcium Threonate, Glycyrrhiza Glabra (Licorice) Root Extract, Sodium Benzoate, Potassium Sorbate, Benzyl Benzoate"
5 in 1 Face Cream SPF 30,First Aid Beauty,15808.0,https://www.sephora.com/product/5-in-1-face-cream-spf-30-P263006?icid2=products,40.0,"1% or more of total formula, Ethanolamines DEA/TEA/MEA/ETA, Nanoparticles as defined by the European Commission, Petrolatum and Parrafin that is not USP grade, Phenoxyethanol that is 1% or more of total formulation, Polyacrylamide & Acrylamide, The following types of Styrene (Bromostyrene, Deastyrene/acrylates/dvbcopolymer, sodium styrene/divinylbenzene copolymer , styrene oxide, styrene), 1,4 Dioxane in final formulas must comply with the thresholds as follows: (10 or < ppm for products that are meant to be rinsed off, wiped off or removed, 3ppm or < for products that are meant to remain on the skin)"
7 Day Scrub Cream Rinse-Off Formula,CLINIQUE,14618.0,https://www.sephora.com/product/7-day-scrub-cream-rinse-off-formula-P122661?icid2=products,23.5,"Water , Tridecyl Stearate , Tridecyl Trimellitate , Dipentaerythrityl Hexacaprylate/Hexacaprate , Butylene Glycol , Glyceryl Stearate , Cocos Nucifera (Coconut) Oil , Caprylic/Capric Triglyceride , Silica , Cetearyl Alcohol , Ceteareth-20 , Sorbitol , Hexyldecyl Stearate , Bisabolol , Disodium Cocoamphodipropionate , Triethanolamine , Oleth-10 Phosphate , Caprylyl Glycol , 1,2-Hexanediol , Stearyl Alcohol , Carbomer , Disodium Edta , Phenoxyethanol , Potassium Sorbate , Chlorphenesin"
A-Passioni™ Retinol Cream,Drunk Elephant,161311.0,https://www.sephora.com/product/a-passioni-retinol-cream-P439926?icid2=products,74.0,"1% or more of total formula, Ethanolamines DEA/TEA/MEA/ETA, Nanoparticles as defined by the European Commission, Petrolatum and Parrafin that is not USP grade, Phenoxyethanol that is 1% or more of total formulation, Polyacrylamide & Acrylamide, The following types of Styrene (Bromostyrene, Deastyrene/acrylates/dvbcopolymer, sodium styrene/divinylbenzene copolymer , styrene oxide, styrene), 1,4 Dioxane in final formulas must comply with the thresholds as follows: (10 or < ppm for products that are meant to be rinsed off, wiped off or removed, 3ppm or < for products that are meant to remain on the skin)"
A Perfect World™ SPF 40 Age-Defense Moisturizer with White Tea,Origins,16101.0,https://www.sephora.com/product/a-perfect-world-spf-40-age-defense-moisturizer-with-white-tea-P417307?icid2=products,47.0,"1% or more of total formula, Ethanolamines DEA/TEA/MEA/ETA, Nanoparticles As defined by the European Commission, Petrolatum and Parrafin that is not USP grade, Phenoxyethanol that is 1% or more of total formulation, Polyacrylamide & Acrylamide, The following types of Styrene (Bromostyrene, Deastyrene/acrylates/dvbcopolymer, sodium styrene/divinylbenzene copolymer , styrene oxide, styrene), 1,4 Dioxane in final formulas must comply with the thresholds as follows: (10 or < ppm for products that are meant to be rinsed off, wiped off or removed, 3ppm or < for products that are meant to remain on the skin)"
Abeille Royale Youth Watery Anti-Aging Oil,Guerlain,29134.0,https://www.sephora.com/product/abeille-royale-youth-watery-oil-P422895?icid2=products,95.0,"Water, Glycerin, Pentylene Glycol, Polyglycerin-3, Methyl Gluceth-20, Alcohol, Royal Jelly, Ppg-26-Buteth-26, Phenoxyethanol, Mannitol, Peg-40 Hydrogenated Castor Oil, Cellulose, Honey, Fragrance, Polyacrylate Crosspolymer-6, Sodium Citrate, Glyceryl Polymethacrylate, Tocopheryl Acetate, Caprylic/Capric Triglyceride, Citric Acid, Peg-8, Acrylates/Ammonium Methacrylate Copolymer, Synthetic Fluorphlogopite, Commiphora Mukul Resin Extract, Limonene, Caramel, Triethyl Citrate, Benzyl Salicylate, Ci 77891 (Titanium Dioxide), Sodium Metabisulfite, Ci 77492 (Iron Oxides), Geraniol, Hydroxycitronellal, Sodium Lactate, Alpha-Isomethyl Ionone, Citronellol, Ci 77491 (Iron Oxides), Hydroxypropyl Methylcellulose, Linalool, Tin Oxide, Bht, Tocopherol, Ci 14700 (Red 4), Palmitoyl Hexapeptide-12"
Salicylic Acid Acne Healing Dots,Peace Out,158932.0,https://www.sephora.com/product/acne-healing-dots-P421275?icid2=products,19.0,"5%, Hydrocolloid Polymer Technology, Aloe Barbadensis Leaf Extract, Retinyl Acetate"
Acne Solutions™ Clarifying Lotion,CLINIQUE,33374.0,https://www.sephora.com/product/acne-solutions-clarifying-lotion-P188307?icid2=products,17.5,", Nylon-12, Butylene Glycol, Hamamelis Virginiana (Witch Hazel), Laminaria Saccharina Extract, Caffeine, Sucrose , Glycerin, Acetyl Glucosamine, Sorbitol, Sea Whip Extract, Barium Sulfate, 10-Hydroxydecanoic Acid, Silica, Disodium Edta, Benzalkonium Chloride"
Acne Solutions™ Cleansing Bar For Face and Body,CLINIQUE,15075.0,https://www.sephora.com/product/acne-solutions-cleansing-face-body-soap-P196524?icid2=products,16.5,"Sodium Palmate , Sodium Cocoate , Water , Palmitic Acid , Cocamidopropyl Dimethylamine , Glyceryl Stearate , Zea Mays (Corn) Starch , Hydrolyzed Corn Starch , Glycerin , Caffeine , Zinc Pca , Ppg-26/Dimer Dilinoleate Copolymer , Polyquaternium-67 , Hydrolyzed Corn Starch Octenylsuccinate , Sodium Chloride , Tetrasodium Edta , Tetrasodium Etidronate , Chlorphenesin , Titanium Dioxide (Ci 77891)"
